TIG_PostNL::Use only the primary sender address,Use only the primary sender address
TIG_PostNL::Product Options,Product Options
TIG_PostNL::Select selectable option,Select selectable option
TIG_PostNL::Default shipping option,Default shipping option
TIG_PostNL::This setting may be overwritten by manually creating shipments. This option is only applicable to domestic shipments.,This setting may be overwritten by manually creating shipments. This option is only applicable to domestic shipments.
TIG_PostNL::Use an alternative default option,Use an alternative default option
TIG_PostNL::Enable this to use an alternative default option when a shipment's total value exceeds a certain amount.,Enable this to use an alternative default option when a shipment's total value exceeds a certain amount.
TIG_PostNL::Maximum amount,Maximum amount
TIG_PostNL::The alternative default option will be used when the shipment's total amount exceeds this value.,The alternative default option will be used when the shipment's total amount exceeds this value.
TIG_PostNL::Alternative default shipping option,Alternative default shipping option
TIG_PostNL::This option will be used as default when the shipment's total value exceeds the given amount.,This option will be used as default when the shipment's total value exceeds the given amount.
TIG_PostNL::Default 'deliver at the Post Office' option,Default 'deliver at the Post Office' option
TIG_PostNL::This setting can be overwritten by manually creating shipments. This option is only applicable to Post Office shipments.,This setting can be overwritten by manually creating shipments. This option is only applicable to Post Office shipments.
TIG_PostNL::Worldwide Shipping,Worldwide Shipping
TIG_PostNL::Customs license number,Customs license number
"TIG_PostNL::If you do not own a customs license, leave this field empty.","If you do not own a customs license, leave this field empty."
TIG_PostNL::Customs certificate number,Customs certificate number
"TIG_PostNL::If you do not own a customs certificate, leave this field empty.","If you do not own a customs certificate, leave this field empty."
TIG_PostNL::Product attributes,Product attributes
TIG_PostNL::Use HS Tariff,Use HS Tariff
TIG_PostNL::HS Tariff attribute,HS Tariff attribute
TIG_PostNL::Customs value attribute,Customs value attribute
TIG_PostNL::Country of origin attribute,Country of origin attribute
TIG_PostNL::Product description attribute,Product description attribute
TIG_PostNL::Product sorting,Product sorting
TIG_PostNL::Product sorting attribute,Product sorting attribute
TIG_PostNL::Global shipping labels contain a maximum of 5 products. The sorting method will determine which 5 products are shown. Please note: the remaining products will not be shown on the label.,Global shipping labels contain a maximum of 5 products. The sorting method will determine which 5 products are shown. Please note: the remaining products will not be shown on the label.
TIG_PostNL::Product sorting direction,Product sorting direction
TIG_PostNL::PostNL Checkout Settings,PostNL Checkout Settings
TIG_PostNL::Enable PostNL Checkout,Enable PostNL Checkout
TIG_PostNL::Mode,Mode
TIG_PostNL::Enable PostNL Checkout for orders under 2 kg,Enable PostNL Checkout for orders under 2 kg
TIG_PostNL::Enable PostNL Checkout for orders containing out of stock products,Enable PostNL Checkout for orders containing out of stock products
TIG_PostNL::PostNL Checkout settings,PostNL Checkout settings
TIG_PostNL::Show order summary page,Show order summary page
TIG_PostNL::Whether or not to show the customer a final order summary page before finalizing the order.,Whether or not to show the customer a final order summary page before finalizing the order.
TIG_PostNL::Newsletter subscription,Newsletter subscription
TIG_PostNL::Remark,Remark
TIG_PostNL::Whether or not the customer can leave a remark.,Whether or not the customer can leave a remark.
TIG_PostNL::Use mobile phonenumber,Use mobile phonenumber
TIG_PostNL::Use date of birth,Use date of birth
TIG_PostNL::Whether or not the customer's date of birth will be returned by PostNL if available.,Whether or not the customer's date of birth will be returned by PostNL if available.
TIG_PostNL::Allow post office locations,Allow post office locations
TIG_PostNL::Whether or not the customer may choose a retail location as their delivery address.,Whether or not the customer may choose a retail location as their delivery address.
TIG_PostNL::Allow foreign addresses,Allow foreign addresses
TIG_PostNL::Allow price overview,Allow price overview
TIG_PostNL::Terms and conditions,Terms and conditions
TIG_PostNL::Contact settings,Contact settings
TIG_PostNL::Contact URL,Contact URL
TIG_PostNL::URL of a page where customers can find contact information for your webshop. Leave empty to disable this feature.,URL of a page where customers can find contact information for your webshop. Leave empty to disable this feature.
TIG_PostNL::Service URL,Service URL
